kod,naziv,osvojen
first_correct,Prvi uspjeh,2026-08-18 15:58:05.541392+00
explorer,Istraživač,2026-08-18 17:50:12.677603+00
null_ninja,NULL Ninja,2026-08-18 17:56:45.074804+00
join_master,Majstor JOIN-ova,2026-08-18 18:01:18.425335+00
