id,vrijeme,delta,razlog,attempt_id,zadatak,attempt_tocan,xp_kumulativno,level,level_up
2866,2026-08-18 18:13:40.395857+00,80,attempt,492857,71,true,4048,41,DA
2867,2026-08-18 18:14:00.937178+00,60,attempt,492858,65,true,4108,42,DA
2868,2026-08-18 18:14:21.444595+00,80,attempt,492859,66,true,4188,42,
2869,2026-08-18 18:14:41.090852+00,60,attempt,492860,60,true,4248,43,DA
2870,2026-08-18 18:15:02.77359+00,80,attempt,492861,61,true,4328,44,DA
2871,2026-08-18 18:15:22.636372+00,50,attempt,492862,62,false,4378,44,
2872,2026-08-18 18:15:46.185332+00,75,attempt,492863,62,true,4453,45,DA
2873,2026-08-18 18:20:17.449186+00,60,attempt,492864,3,true,4513,46,DA
2874,2026-08-18 18:21:19.551564+00,40,attempt,492867,4,true,4553,46,
2875,2026-08-18 18:21:40.619094+00,20,attempt,492868,3786,true,4573,46,
2876,2026-08-18 18:22:01.083583+00,40,attempt,492869,3787,true,4613,47,DA
2877,2026-08-18 18:22:21.377337+00,40,attempt,492870,3788,true,4653,47,
